index,id-number,type,description,source
cult.pcs.qnt,548,,Mean consumption expenditure of private households on cultural goods and services by income quintile,Eurostat
DC.ODA.TLDC.CD,549,,"Net ODA provided, to the least developed countries (current US$)",World Data Bank
DC.ODA.TOTL.CD,550,,"Net ODA provided, total (current US$)",World Data Bank
DC.ODA.TOTL.GN.ZS,551,,"Net ODA provided, total (% of GNI)",World Data Bank
DC.ODA.TOTL.KD,552,,"Net ODA provided, total (constant 2015 US$)",World Data Bank
demo.divcb,553,,Divorces by country of birth of wife and husband,Eurostat
demo.facbc,554,,Live births by mother's age and country of birth,Eurostat
demo.faczc,555,,Live births by mother's age and citizenship,Eurostat
demo.fasec,556,,Live births by mother's age and newborn's sex,Eurostat
demo.fmonth,557,,Live births (total) by month,Eurostat
demo.fordagec,558,,Live births by mother's age and birth order,Eurostat
demo.fordager,559,,Live births by mother's year of birth (age reached) and birth order,Eurostat
demo.macbc,560,,"Deaths by age, sex and country of birth",Eurostat
demo.maczc,561,,"Deaths by age, sex and citizenship",Eurostat
demo.maeduc,562,,"Deaths by age, sex and educational attainment level",Eurostat
demo.mager,563,,Deaths by year of birth (age reached) and sex,Eurostat
demo.marcb,564,,Marriages by country of birth of bride and groom,Eurostat
demo.mfoet,565,,Late foetal deaths by mother's age,Eurostat
demo.mmonth,566,,Deaths (total) by month,Eurostat
demo.nmsta2,567,,Marriages by previous legal union status of bride and groom,Eurostat
demo.pjan,568,,Population on 1 January by age and sex,Eurostat
demo.pjanbroad,569,,Population on 1 January by broad age group and sex,Eurostat
demo.pjangroup,570,,Population on 1 January by age group and sex,Eurostat
demo.urespop,571,,Usually resident population on 1 January,Eurostat
earn.gr.empisco,572,,Number of employees by sex and occupation,Eurostat
earn.gr.hgpg,573,,Gender pay gap in unadjusted form (1994 - 2006),Eurostat
earn.ses.agt03,574,,"Number of employees by size of the enterprise, sex, occupation",Eurostat
earn.ses.agt32,575,,"Mean annual earnings by size of the enterprise, sex,occupation. Unit is Percentage %",Eurostat
earn.ses.agt46,576,,"Mean annual holidays by size of the enterprise, sex, occupation",Eurostat
earn.ses.mdeci,577,,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L. Unit is Percentage %",Eurostat
earn.ses10.mdeci,578,,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O. Unit is Percentage %",Eurostat
earn.ses14.adeci,579,,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O. Unit is Percentage %",Eurostat
earn.ses14.mdeci,580,,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O. Unit is Percentage %",Eurostat
educ.enrl1ad,581,,"Students by ISCED level, study intensity and sex",Eurostat
educ.enrl1tl,582,,"Students by ISCED level, age and sex",Eurostat
educ.uoe.enra19,583,,"Pupils aged 4 years old, by sex - as % of the population of the corresponding age group",Eurostat
educ.uoe.enra21,584,,Pupils from age 3 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Eurostat
educ.uoe.enra23,585,,Pupils from age 0 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Eurostat
EG.EGY.PRIM.PP.KD,586,,Energy intensity level of primary energy (MJ/$2011 PPP GDP),World Data Bank
EG.ELC.RNWX.KH,587,,"Electricity production from renewable sources, excluding hydroelectric (kWh)",World Data Bank
EG.GDP.PUSE.KO.PP,588,,GDP per unit of energy use (PPP $ per kg of oil equivalent),World Data Bank
EG.GDP.PUSE.KO.PP.KD,589,,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),World Data Bank
EG.IMP.CONS.ZS,590,,"Energy imports, net (% of energy use)",World Data Bank
EG.USE.COMM.CL.ZS,591,,Alternative and nuclear energy (% of total energy use),World Data Bank
EG.USE.COMM.FO.ZS,592,,Fossil fuel energy consumption (% of total),World Data Bank
EG.USE.COMM.GD.PP.KD,593,,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",World Data Bank
EG.USE.ELEC.KH.PC,594,,Electric power consumption (kWh per capita),World Data Bank
EG.USE.PCAP.KG.OE,595,,Energy use (kg of oil equivalent per capita),World Data Bank
EN.ATM.CO2E.GF.KT,596,,CO2 emissions from gaseous fuel consumption (kt),World Data Bank
EN.ATM.CO2E.KD.GD,597,,CO2 emissions (kg per 2015 US$ of GDP),World Data Bank
EN.ATM.CO2E.KT,598,,CO2 emissions (kt),World Data Bank
EN.ATM.CO2E.LF.KT,599,,CO2 emissions from liquid fuel consumption (kt),World Data Bank
EN.ATM.CO2E.PC,600,,CO2 emissions (metric tons per capita),World Data Bank
EN.ATM.CO2E.PP.GD.KD,601,,CO2 emissions (kg per 2017 PPP $ of GDP),World Data Bank
EN.ATM.CO2E.SF.KT,602,,CO2 emissions from solid fuel consumption (kt),World Data Bank
EN.ATM.GHGO.KT.CE,603,,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",World Data Bank
EN.URB.LCTY,604,,Population in largest city,World Data Bank
EN.URB.MCTY,605,,Population in urban agglomerations of more than 1 million,World Data Bank
EN.URB.MCTY.TL.ZS,606,,Population in urban agglomerations of more than 1 million (% of total population),World Data Bank
env.ac.mid,607,,Material import dependency,Eurostat
env.bio2,608,,"Common farmland bird index (sources: OECD, BirdLife)",Eurostat
ER.FSH.AQUA.MT,609,,Aquaculture production (metric tons),World Data Bank
ER.FSH.CAPT.MT,610,,Capture fisheries production (metric tons),World Data Bank
ER.FSH.PROD.MT,611,,Total fisheries production (metric tons),World Data Bank
FB.CBK.BRCH.P5,612,,"Commercial bank branches (per 100,000 adults)",World Data Bank
FD.AST.PRVT.GD.ZS,613,,Domestic credit to private sector by banks (% of GDP),World Data Bank
FI.RES.TOTL.CD,614,,"Total reserves (includes gold, current US$)",World Data Bank
FI.RES.TOTL.MO,615,,Total reserves in months of imports,World Data Bank
FI.RES.XGLD.CD,616,,Total reserves minus gold (current US$),World Data Bank
FM.AST.DOMS.CN,617,,Net domestic credit (current LCU),World Data Bank
FM.AST.NFRG.CN,618,,Net foreign assets (current LCU),World Data Bank
FM.AST.PRVT.GD.ZS,619,,Monetary Sector credit to private sector (% GDP),World Data Bank
FP.CPI.TOTL,620,,Consumer price index (2010 = 100),World Data Bank
FP.CPI.TOTL.ZG,621,,"Inflation, consumer prices (annual %)",World Data Bank
FS.AST.CGOV.GD.ZS,622,,"Claims on central government, etc. (% GDP)",World Data Bank
FS.AST.PRVT.GD.ZS+A358,623,,Domestic credit to private sector (% of GDP),World Data Bank
GB.XPD.RSDV.GD.ZS,624,,Research and development expenditure (% of GDP),World Data Bank
GC.NFN.TOTL.CN,625,,Net investment in nonfinancial assets (current LCU),World Data Bank
GC.NFN.TOTL.GD.ZS,626,,Net investment in nonfinancial assets (% of GDP),World Data Bank
GC.NLD.TOTL.CN,627,,Net lending (+) / net borrowing (-) (current LCU),World Data Bank
GC.NLD.TOTL.GD.ZS,628,,Net lending (+) / net borrowing (-) (% of GDP),World Data Bank
GC.REV.GOTR.CN,629,,Grants and other revenue (current LCU),World Data Bank
GC.REV.GOTR.ZS,630,,Grants and other revenue (% of revenue),World Data Bank
GC.REV.SOCL.CN,631,,Social contributions (current LCU),World Data Bank
GC.REV.SOCL.ZS,632,,Social contributions (% of revenue),World Data Bank
GC.REV.XGRT.CN,633,,"Revenue, excluding grants (current LCU)",World Data Bank
GC.REV.XGRT.GD.ZS,634,,"Revenue, excluding grants (% of GDP)",World Data Bank
GC.TAX.EXPT.CN,635,,Taxes on exports (current LCU),World Data Bank
GC.TAX.EXPT.ZS,636,,Taxes on exports (% of tax revenue),World Data Bank
GC.TAX.GSRV.CN,637,,Taxes on goods and services (current LCU),World Data Bank
GC.TAX.GSRV.RV.ZS,638,,Taxes on goods and services (% of revenue),World Data Bank
GC.TAX.GSRV.VA.ZS,639,,Taxes on goods and services (% value added of industry and services),World Data Bank
GC.TAX.IMPT.CN,640,,Customs and other import duties (current LCU),World Data Bank
GC.TAX.IMPT.ZS,641,,Customs and other import duties (% of tax revenue),World Data Bank
GC.TAX.INTT.CN,642,,Taxes on international trade (current LCU),World Data Bank
GC.TAX.INTT.RV.ZS,643,,Taxes on international trade (% of revenue),World Data Bank
GC.TAX.OTHR.CN,644,,Other taxes (current LCU),World Data Bank
GC.TAX.OTHR.RV.ZS,645,,Other taxes (% of revenue),World Data Bank
GC.TAX.TOTL.CN,646,,Tax revenue (current LCU),World Data Bank
GC.TAX.TOTL.GD.ZS,647,,Tax revenue (% of GDP),World Data Bank
GC.TAX.YPKG.CN,648,,"Taxes on income, profits and capital gains (current LCU)",World Data Bank
GC.TAX.YPKG.RV.ZS,649,,"Taxes on income, profits and capital gains (% of revenue)",World Data Bank
GC.TAX.YPKG.ZS,650,,"Taxes on income, profits and capital gains (% of total taxes)",World Data Bank
GC.XPN.COMP.CN,651,,Compensation of employees (current LCU),World Data Bank
GC.XPN.COMP.ZS,652,,Compensation of employees (% of expense),World Data Bank
GC.XPN.GSRV.CN,653,,Goods and services expense (current LCU),World Data Bank
GC.XPN.GSRV.ZS,654,,Goods and services expense (% of expense),World Data Bank
GC.XPN.INTP.CN,655,,Interest payments (current LCU),World Data Bank
GC.XPN.INTP.RV.ZS,656,,Interest payments (% of revenue),World Data Bank
GC.XPN.INTP.ZS,657,,Interest payments (% of expense),World Data Bank
GC.XPN.OTHR.CN,658,,Other expense (current LCU),World Data Bank
GC.XPN.OTHR.ZS,659,,Other expense (% of expense),World Data Bank
GC.XPN.TOTL.CN,660,,Expense (current LCU),World Data Bank
GC.XPN.TOTL.GD.ZS,661,,Expense (% of GDP),World Data Bank
GC.XPN.TRFT.CN,662,,Subsidies and other transfers (current LCU),World Data Bank
GC.XPN.TRFT.ZS,663,,Subsidies and other transfers (% of expense),World Data Bank
HLT.LEA,664,,"Health, Life expectancy at birth",OECD How's Life
IC.ISV.DURS,665,,Time to resolve insolvency (years),World Data Bank
IC.LGL.DURS,666,Politics,Time required to enforce a contract (days),World Data Bank
IC.REG.COST.PC.FE.ZS,667,,"Cost of business start-up procedures, female (% of GNI per capita)",World Data Bank
IC.REG.COST.PC.MA.ZS,668,,"Cost of business start-up procedures, male (% of GNI per capita)",World Data Bank
IC.REG.COST.PC.ZS,669,,Cost of business start-up procedures (% of GNI per capita),World Data Bank
IC.REG.DURS,670,,Time required to start a business (days),World Data Bank
IC.REG.DURS.FE,671,,"Time required to start a business, female (days)",World Data Bank
IC.REG.DURS.MA,672,,"Time required to start a business, male (days)",World Data Bank
IC.REG.PROC,673,Politics,Start-up procedures to register a business (number),World Data Bank
IC.REG.PROC.FE,674,,"Start-up procedures to register a business, female (number)",World Data Bank
IC.REG.PROC.MA,675,,"Start-up procedures to register a business, male (number)",World Data Bank
icw.sr.02,676,,Median saving rate by household type - experimental statistics,Eurostat
icw.sr.09,677,,Aggregate propensity to consume by household type - experimental statistics,Eurostat
icw.sr.13,678,,Median saving rate by degree of urbanisation - experimental statistics,Eurostat
icw.sr.14,679,,Aggregate propensity to consume by degree of urbanisation - experimental statistics,Eurostat
icw.sr.15,680,,Median saving rate by activity status of the reference person - experimental statistics,Eurostat
icw.sr.16,681,,Aggregate propensity to consume by activity status of the reference person - experimental statistics,Eurostat
ilc.di11a,682,,Income quintile share ratio S80/S20 for gross market income by sex and age group - EU-SILC survey,Eurostat
ilc.di11b,683,,Income quintile share ratio S80/S20 for net market income by sex and age group - EU-SILC survey,Eurostat
ilc.di11c,684,,Income quintile share ratio S80/S20 for gross total disposable income by sex and age group - EU-SILC survey,Eurostat
ilc.li22,685,,At-risk-of-poverty rate anchored at a fixed moment in time (2005) by age and sex - EU-SILC survey,Eurostat
ilc.li22b,686,,At-risk-of-poverty rate anchored at a fixed moment in time (2008) by age and sex - EU-SILC survey,Eurostat
ilc.lvhl13n,687,,People living in households with very low work intensity by income quintile and household type (population aged 0 to 64 years),Eurostat
ilc.lvhl17,688,,Persons living in households with very low work intensity by tenure status (population aged 0 to 59 years) - EU 2020 strategy,Eurostat
ilc.lvhl17n,689,,People living in households with very low work intensity by tenure status (population aged 0 to 64 years),Eurostat
ilc.lvho01,690,,"Distribution of population by degree of urbanisation, dwelling type and income group - EU-SILC survey",Eurostat
ilc.lvho02,691,,"Distribution of population by tenure status, type of household and income group - EU-SILC survey",Eurostat
ilc.lvho03h,692,,Average number of rooms per person by tenure status and dwelling type until 2001 - ECHP survey,Eurostat
ilc.lvho04,693,,Average number of rooms per person by type of household and income group from 2003 - EU-SILC survey,Eurostat
ilc.lvho04d,694,,Average number of rooms per person by degree of urbanization,Eurostat
ilc.lvho04h,695,,Average number of rooms per person by type of household and income group until 2001 - ECHP survey,Eurostat
ilc.lvph02,696,,Distribution of households by household type from 2003 onwards - EU-SILC survey,Eurostat
ilc.lvph02h,697,,Distribution of households by household type until 2001 - ECHP survey,Eurostat
ilc.lvph04,698,,Distribution of households by household type and income level - EU-SILC survey,Eurostat
ilc.lvps01,699,,Distribution of population by sex and age - EU-SILC survey,Eurostat
ilc.mded01,700,,"Share of housing costs in disposable household income, by type of household and income group - EU-SILC survey",Eurostat
ilc.mded02,701,,"Share of rent related to occupied dwelling in disposable household income, by type of household and income group - EU-SILC survey",Eurostat
ilc.mdsd02,702,,Material and social deprivation rate by income quintile and household type,Eurostat
ilc.mdsd03,703,,"Material and social deprivation rate by age, sex and educational attainment level. Only age = Y_GE16",Eurostat
ilc.mdsd06,704,,Material and social deprivation rate by tenure status,Eurostat
ilc.mdsd07,705,,Material and social deprivation rate by age and sex,Eurostat
ilc.mdsd09,706,,Material and social deprivation rate by degree of urbanisation,Eurostat
ilc.mdsd11,707,,Severe material and social deprivation rate by age and sex. Unit is Percentage %,Eurostat
ilc.mdsd13,708,,Severe material and social deprivation by income quantile and household composition,Eurostat
ilc.peps01,709,,Persons at risk of poverty or social exclusion by age and sex - EU 2020 strategy. Unit is Percentage %,Eurostat
ilc.peps03,710,,Persons at risk of poverty or social exclusion by income quantile and household composition - EU 2020 strategy,Eurostat
ilc.peps07,711,,Persons at risk of poverty or social exclusion by tenure status - EU 2020 strategy,Eurostat
IP.JRN.ARTC.SC,712,,Scientific and technical journal articles,World Data Bank
IP.PAT.NRES,713,,"Patent applications, nonresidents",World Data Bank
IP.PAT.RESD,714,,"Patent applications, residents",World Data Bank
IP.TMK.NRES,715,,"Trademark applications, direct nonresident",World Data Bank
IP.TMK.RESD,716,,"Trademark applications, direct resident",World Data Bank
IP.TMK.TOTL,717,,"Trademark applications, total",World Data Bank
IQ.SPI.PIL1,718,,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),Eurostat
IS.AIR.DPRT,719,,"Air transport, registered carrier departures worldwide",World Data Bank
IS.AIR.GOOD.MT.K1,720,,"Air transport, freight (million ton-km)",World Data Bank
IS.AIR.PSGR,721,,"Air transport, passengers carried",World Data Bank
IS.RRS.GOOD.MT.K6,722,,"Railways, goods transported (million ton-km)",World Data Bank
IS.RRS.PASG.KM,723,,"Railways, passengers carried (million passenger-km)",World Data Bank
IS.RRS.TOTL.KM,724,,Rail lines (total route-km),World Data Bank
IT.CEL.SETS,725,,Mobile cellular subscriptions,World Data Bank
IT.MLT.MAIN,726,,Fixed telephone subscriptions,World Data Bank
IT.MLT.MAIN.P2,727,,Fixed telephone subscriptions (per 100 people),World Data Bank
IT.NET.BBND,728,,Fixed broadband subscriptions,World Data Bank
IT.NET.BBND.P2,729,,Fixed broadband subscriptions (per 100 people),World Data Bank
IT.NET.USER.ZS,730,,Individuals using the Internet (% of population),World Data Bank
lfsa.agaed,731,,"Active population by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.agan,732,,"Active population by sex, age and citizenship (1 000). Only age = Y15-64",Eurostat
lfsa.e2ged,733,,"Employed persons having a second job by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.e2gis,734,,"Employed persons having a second job by sex, age and occupation in the first job (1 000). Only age = Y15-64",Eurostat
lfsa.eegaed,735,,"Employees by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.eegais,736,,"Employees by sex, age and occupation (1 000). Only age = Y15-64",Eurostat
lfsa.eegan2,737,,"Employees by sex, age and economic activity (from 2008 onwards, NACE Rev. 2) - 1 000. Only age = Y15-64",Eurostat
lfsa.eegana,738,,"Employees by sex, age and economic activity (1983-2008, NACE Rev. 1.1) (1 000). Only age = Y15-64",Eurostat
lfsa.egaed,739,,"Employment by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.egan,740,,"Employment by sex, age and citizenship (1 000). Only age = Y15-64",Eurostat
lfsa.egan2,741,,"Employment by sex, age and economic activity (from 2008 onwards, NACE Rev. 2) - 1 000. Only age = Y15-64",Eurostat
lfsa.egan22d,742,,"Employment by sex, age and detailed economic activity (from 2008 onwards, NACE Rev. 2 two digit level) - 1 000. Only age = Y15-64",Eurostat
lfsa.egana,743,,"Employment by sex, age and economic activity (1983-2008, NACE Rev. 1.1) (1 000). Only age = Y15-64",Eurostat
lfsa.epgaed,744,,"Full-time and part-time employment by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.epgais,745,,"Full-time and part-time employment by sex, age and occupation (1 000). Only age = Y15-64",Eurostat
lfsa.epgan2,746,,"Full-time and part-time employment by sex and economic activity (from 2008 onwards, NACE Rev. 2) - 1 000",Eurostat
lfsa.epgan6,747,,"Full-time and part-time employment by sex, age and economic activity - NACE A6 (1983-2008, NACE Rev. 1.1) (1 000). Only age = Y15-64",Eurostat
lfsa.epgana,748,,"Full-time and part-time employment by sex and economic activity (1983-2008, NACE Rev. 1.1) (1 000)",Eurostat
lfsa.epgn62,749,,"Full-time and part-time employment by sex, age and economic activity - NACE A10 (from 2008 onwards, NACE Rev. 2) - 1 000. Only age = Y15-64",Eurostat
lfsa.esega,750,,Employment by age and European socio-economic group. Only age = Y15-64,Eurostat
lfsa.esegatyp,751,,"Employment at atypical working time as a percentage of the total employment, by age and European socio-economic group. Only age = Y15-64",Eurostat
lfsa.eseged,752,,"Employment by educational attainment level, age and European socio-economic group. Only age = Y15-64",Eurostat
lfsa.esegg,753,,"Employment by sex, age and European socio-economic group. Only age = Y15-64",Eurostat
lfsa.esegn2,754,,"Employment by NACE Rev. 2 activity, age and European socio-economic group. Only age = Y15-64",Eurostat
lfsa.esegp,755,,"Employment by working time, age and European socio-economic group. Only age = Y15-64",Eurostat
lfsa.esegt,756,,"Employees by type of employment contract, age and European socio-economic group. Only age = Y15-64",Eurostat
lfsa.etgadc,757,,"Temporary employees by sex, age and duration of the work contract (1 000). Only age = Y15-64",Eurostat
lfsa.etgaed,758,,"Temporary employees by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.etgais,759,,"Temporary employees by sex, age and occupation (1 000). Only age = Y15-64",Eurostat
lfsa.etgan2,760,,"Temporary employees by sex, age and economic activity (from 2008 onwards, NACE Rev. 2) - 1 000. Only age = Y15-64",Eurostat
lfsa.etgana,761,,"Temporary employees by sex, age and economic activity (1983-2008, NACE Rev. 1.1) - 1 000. Only age = Y15-64",Eurostat
lfsa.igaed,762,,"Inactive population by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.igan,763,,"Inactive population by sex, age and citizenship (1 000). Only age = Y15-64",Eurostat
lfsa.igaww,764,,"Inactive population not seeking employment by sex, age and willingness to work (1 000). Only age = Y15-64",Eurostat
lfsa.pgacws,765,,"Population by sex, age, country of birth and labour status. Only wstatus = POP. Only age = Y15-64",Eurostat
lfsa.pgaed,766,,"Population by sex, age and educational attainment level (1 000). Only age = Y15-64",Eurostat
lfsa.pgaied,767,,"Population by sex, age and participation in education and training (last 4 weeks) (1 000). Only age = Y15-64",Eurostat
lfsa.pganws,768,,"Population by sex, age, citizenship and labour status (1 000). Only age = Y15-64. Only wstatus = POP",Eurostat
lfsa.pgauws,769,,"Annual population by sex, age, degree of urbanisation and labour status (1 000). Only age = Y15-64. Only wstatus = POP",Eurostat
lfsa.qoe.4a6r1,770,,"Temporary employment agency workers by sex, age and NACE Rev. 1.1 activity. Only age = Y15-64",Eurostat
lfsa.qoe.4a6r2,771,,"Temporary employment agency workers by sex, age and NACE Rev. 2 activity. Only age = Y15-64",Eurostat
lfsa.qoe.4ax1r1,772,,"Precarious employment by sex, age and NACE Rev. 1.1 activity. Only age = Y15-64",Eurostat
lfsa.qoe.4ax1r2,773,,"Precarious employment by sex, age and NACE Rev. 2 activity. Only age = Y15-64",Eurostat
lfsa.ugad,774,,"Unemployment by sex, age and duration of unemployment (1 000). Only age = Y15-64",Eurostat
lfsa.ugan,775,,"Unemployment by sex, age and citizenship (1 000). Only age = Y15-64",Eurostat
lfsa.ugates,776,,"Unemployment by sex, age and type of employment sought (1 000). Only age = Y15-64",Eurostat
lfsa.ugpis,777,,"Previous occupations of the unemployed, by sex (1 000)",Eurostat
lfso.04anwkisna,778,,"Number of employees having annualised working hours by sex, age, occupation and economic activity. Only age = Y15-64",Eurostat
lfso.04oncwisna,779,,"Number of employees working on call by sex, age, occupation and economic activity. Only age = Y15-64",Eurostat
lfso.04ownmisco,780,,"Number of self-employed persons who can control their own work methods and schedule, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04shipisco,781,,"Shift work patterns used by employees, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04shipna11,782,,"Shift work patterns used by employees, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04sincna11,783,,"Number of self-employed persons who work for one single client or customer, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04vahrisco,784,,"Number of employees with the possibility to work variable hours in the reference week, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04vawkisco,785,,"Number of employees with variable working hours, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04vawkna11,786,,"Number of employees with variable working hours, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04wk1pisco,787,,"Number of employees finding it convenient for personal life to do shift work or on-call work, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04wk1pna11,788,,"Number of employees finding it convenient for personal life to do shift work or on-call work, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04wk2pisco,789,,"Number of employees finding it convenient for personal life to work in the evening, or at night, or during weekends, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04wk2pna11,790,,"Number of employees finding it convenient for personal life to work in the evening, or at night, or during weekends, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04wktpisco,791,,"Number of part-time employees, by working time pattern compared with 'full-timers', sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04wktpna11,792,,"Number of part-time employees by working time pattern compared with 'full-timers', sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.05change,793,,Number of employed persons between 15 and 64 years old wishing to change the organisation of their working life and care responsibilities. Only age = Y15-64,Eurostat
lfso.05changp,794,,Number of persons between 15 and 64 years old wishing to change the organisation of their working life and care responsibilities. Only age = Y15-64. Only wstatus = POP,Eurostat
lfso.05posoe1,795,,"Number of employed persons between 15 and 64 years old who can take whole days off for family reasons, by economic activity. Only age = Y15-64",Eurostat
lfso.05posoe2,796,,"Number of employed persons between 15 and 64 years old who can take whole days off for family reasons, by occupation. Only age = Y15-64",Eurostat
lfso.05posse1,797,,"Number of employed persons between 15 and 64 years old who can vary start/end of working day for family reasons, by economic activity. Only age = Y15-64",Eurostat
lfso.05posse2,798,,"Number of employed persons between 15 and 64 years old who can vary start/end of working day for family reasons, by occupation. Only age = Y15-64",Eurostat
lfso.05reduc1,799,,"Number of employed persons between 15 and 64 years old having to make working time arrangements over the last 12 months to care for children, by working time pattern. Only age = Y15-64",Eurostat
lfso.05reduc2,800,,"Number of employed persons between 15 and 64 years old having to make working time arrangements over the last 12 months to care for children, by occupation. Only age = Y15-64",Eurostat
lfso.05regce,801,,Number of employed persons between 15 and 64 years old regularly taking care of other children or people in need of care. Only age = Y15-64,Eurostat
lfso.05regcp,802,,Number of persons between 15 and 64 years old regularly taking care of other children up to 14 or people older than 15 in need of care. Only age = Y15-64. Only wstatus = POP,Eurostat
lfso.05timee1,803,,"Number of employed persons between 15 and 64 years old taking time off over the last 12 months for family sickness or emergencies, by educational attainment level. Only age = Y15-64",Eurostat
lfso.05timee2,804,,"Number of employed persons between 15 and 64 years old taking time off over the last 12 months for family sickness or emergencies, by economic activity. Only age = Y15-64",Eurostat
lfso.05timee3,805,,"Number of employed persons between 15 and 64 years old taking time off over the last 12 months for family sickness or emergencies, by occupation. Only age = Y15-64",Eurostat
lfso.06flexisco,806,,Number of employed persons who would stay longer at work (or not) if more flexible working time arrangements were available - by sex and occupation (1 000),Eurostat
lfso.06flexispr,807,,Number of not employed persons who would have stayed longer at work (or not) if more flexible working time arrangements had been available - by sex and occupation (previous job) (1 000),Eurostat
lfso.06hlsaisco,808,,Number of employed persons who would stay longer at work (or not) if their workplace was healthier and/or safer - by sex and occupation (1 000),Eurostat
lfso.06hlsaispr,809,,Number of not employed persons who would have stayed longer at work (or not) if their workplace had been healthier and/or safer - by sex and occupation (previous job) (1 000),Eurostat
lfso.06opskisco,810,,Number of employed persons who would stay longer at work (or not) if they could update their skills - by sex and occupation (1 000),Eurostat
lfso.06opskispr,811,,Number of not employed persons who would have stayed longer at work (or not) if they had had more opportunities to update their skills - by sex and occupation (previous job) (1 000),Eurostat
lfso.06plagftpt,812,,"Number of employed persons - by planned age for stopping work, sex and full time/part time work (1 000)",Eurostat
lfso.06reasstaf,813,,Main reasons for retirement or early retirement - by sex and main labour status just after leaving last job (1 000),Eurostat
lfso.06yrspisco,814,Jobs,"Employed persons, average number of years spent working of employed persons - by sex and occupation",Eurostat
lfso.06yrspispr,815,Jobs,"Not employed persons, average number of years spent working - by sex and occupation (previous job)",Eurostat
lfso.06yrspna11,816,Jobs,"Employed persons, average number of years spent working, by sex and economic activity (NACE Rev. 1.1)",Eurostat
lfso.06yrspnapr,817,Jobs,"Not employed persons, average number of years spent working, by sex and economic activity (previous job, NACE Rev. 1.1)",Eurostat
lfso.08cobsmf,818,,"Population by country of birth, country of birth of mother and father, sex and age (1 000). Only age = Y15-64",Eurostat
lfso.08cobsp,819,,"Population by country of birth, country of birth of parents, sex, age and labour status (1 000). Only age = Y15-64. Only wstatus = POP",Eurostat
lfso.08cobsped,820,,"Population by country of birth, country of birth of parents, sex, age, educational attainment level and labour status (1 000). Only age = Y15-64. Only wstatus = POP",Eurostat
lfso.12reduchrs,821,Jobs,Persons who reduced their working hours in a move towards retirement (%). Only wstatus = POP,Eurostat
lfso.12worklong,822,Jobs,Economically inactive persons who receive a pension who would have wished to stay longer in employment (%),Eurostat
lfso.14b1dr,823,Jobs,"First generation of immigrants by sex, citizenship, duration and reason for migration",Eurostat
lfso.14beduc,824,,"Educational attainment level (ISCED11) distribution by sex, age, migration status and educational attainment level of parents (ISCED11F). Only age = Y15-64",Eurostat
lfso.14hhcompcob,825,,"Households by migration status, country of birth of parents and household composition",Eurostat
lfso.14hhwkcob,826,,"Households by country of birth of parents, working status and years of residence",Eurostat
lfso.14hhwkmg,827,,"Households by migration status, working status and years of residence",Eurostat
lfso.14l1empr,828,Jobs,"Employment rate of first generation of immigrants by sex, age, years of residence and reason for migration. Only age = Y15-64",Eurostat
lfso.14lactr,829,Jobs,"Activity rate by sex, age, migration status, citizenship and educational attainment level. Only age = Y15-64",Eurostat
lfso.14leecm,830,,"Methods to find current job by migration status, educational attainment level and type of contract",Eurostat
lfso.14leeow,831,,"Employees by migration status, educational attainment level, occupation and working time",Eurostat
lfso.14lel,832,,"Labour status distribution of the population by sex, age, migration status and educational attainment level. Only wstatus = POP. Only age = Y15-64",Eurostat
